STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DISTRICT,GLOBALID
Dollar Store,Dollar Tree,,5190 Federal Blvd,,Denver,CO,80221,(303) 455-3278,,,533101,452990,2879000.0,,17.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.024782,39.790432,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
Dollar Store,Dollars City,,4855 Pecos St,,Denver,CO,80221,(303) 477-4070,,,533101,452990,338000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.007082,39.784801,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Leever's / Save A Lot,,4860 Pecos St,,Denver,CO,80221,(720) 855-6622,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.005719,39.784969,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,3810 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024892,39.769585,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,For Every Day Store,,4595 Pecos St,,Denver,CO,80211,(303) 433-1815,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.006843,39.779893,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Friendly Market,,1700 W 40th Ave,,Denver,CO,80211,(303) 458-1930,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.006628,39.771625,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Sunnyside Drug,,4600 N LIPAN ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.001499,39.780398,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,1301 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.00218,39.769714,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,1595 W 47TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.00594,39.782336,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Tejon Market,,4385 Tejon St,,Denver,CO,80211,(720) 855-7792,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.011573,39.776362,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Canino's Sausage Co Inc,,4414 Jason St,,Denver,CO,80211,(303) 455-4339,,,542108,445210,3153000.0,,15.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.999019,39.776901,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Closed Specialty Food Store,Sunnyside Market,,4401 Tejon St,,Denver,CO,80211,,,,,,,,,,,,DEH2015,-105.011508,39.776794,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Salwan Market,,2215 W 32nd Ave,,Denver,CO,80211,(303) 433-6053,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.01316,39.762273,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,2500 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.017813,39.769035,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco,,2727 N ZUNI ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.016183,39.756716,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Leever's / Save A Lot,,2630 W 38th Ave,,Denver,CO,80211,(303) 433-4405,,,541105,445110,3870000.0,,15.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.019624,39.768842,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Variety Supermarket,,3500 Mariposa St,,Denver,CO,80211,(303) 458-0109,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.002814,39.765758,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Rosales Bakery,,2636 W 32ND AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.019742,39.761908,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Savory Spice Shop,,1537 Platte St,,Denver,CO,80202,(303) 477-3322,,,549902,445299,458000.0,,4.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.008749,39.757215,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Safeway Fuel,,2995 W 26TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024379,39.755437,,Jefferson Park,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Speer Phillips 66,,2757 N SPEER BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.016296,39.756252,,Jefferson Park,Council District 1,{00000000-0000-0000-0000-000000000000}
Supermarket,Safeway,,2660 Federal Blvd,,Denver,CO,80211,(303) 477-5091,,,541105,445110,18061000.0,,70.0,50 to 99,,"2,500 - 9,999",InfoGroup2014,-105.024379,39.755435,,Jefferson Park,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Marwa Market,,4330 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.043181,39.740069,Healthy Corner Store Initiative,West Colfax,Council District 1,{00000000-0000-0000-0000-000000000000}
Pharmacy,Walgreen,,5151 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052642,39.740784,,West Colfax,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,3190 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.029658,39.769135,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Circle K,,3600 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.034976,39.769285,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
